inc_id,scan_id,bmctotal,bodyfat,fitness,leanbodymass,leanmassarms,leanmasslegs,shoulderwidth,visceraladiposetissue,weight,neck,chest,underbust,overarm,bicepleft,bicepright,forearmleft,forearmright,wristleft,wristright,stomach,seat,thighleft,thighright,calfleft,calfright,waist,bodysurfacearea,pantwaist,backneck2waist,sleeveleft,sleeveright,acrossshoulder,crotchlength,inseam,chestcb,hipscb,outseamleft,outseamright,process_date,load_filename,load_timestamp,version,year,month
535,8b218e4e-144d-4053-ac69-dfd23a56193d,4137.63,57.77,10.38,238.83,10405.6,21010.92,23.63,3808.19,179.17,21.25,51.72,52.96,59.71,20.62,17.33,15.38,12.3,8.68,9.2,50.08,60.07,27.49,34.38,20.98,18.64,56.24,4366.93,55.5,21.47,33.01,34.19,21.5,35.43,30.13,55.41,47.8,41.48,39.0,18-07-2024,scanId-8b218e4e-144d-4053-ac69-dfd23a56193d_2024_07_17_00_00_00.json-app-measures-version-5.0.0,42:59.7,5.0.0,2024,7
536,892e55be-aff9-4559-abff-8c289f66282e,4125.76,43.21,6.99,167.8,12777.8,34831.42,22.87,2179.68,115.21,22.79,51.25,51.26,60.56,16.07,16.19,12.36,14.82,7.22,8.32,57.03,61.31,27.56,26.61,17.16,16.66,55.54,3808.52,44.42,21.12,33.52,34.93,23.81,40.93,33.77,68.63,54.99,38.9,38.01,27-11-2025,scanId-892e55be-aff9-4559-abff-8c289f66282e_2025_11_26_00_00_00.json-app-measures-version-5.0.0,39:39.7,5.0.0,2025,11
537,89de9d61-9677-46bb-bde4-35866c4b2176,3732.52,37.09,6.28,233.58,10060.42,28961.8,19.87,2647.67,130.18,21.23,65.58,64.84,52.92,14.93,18.74,12.1,13.39,9.54,9.71,63.65,56.15,32.18,25.83,16.59,16.15,44.06,4340.84,51.49,21.86,33.06,33.76,20.22,37.46,32.32,58.35,48.44,40.77,38.66,06-06-2025,scanId-89de9d61-9677-46bb-bde4-35866c4b2176_2025_06_05_00_00_00.json-app-measures-version-5.0.0,28:42.6,5.0.0,2025,6
538,705d515b-332d-42e0-b907-5a0721ca05fd,4037.36,43.35,10.84,197.55,13023.66,31852.03,23.86,1898.87,130.63,22.05,65.61,60.8,64.8,15.47,18.3,14.62,14.05,8.21,8.09,49.65,47.34,27.65,35.64,19.1,18.52,52.45,4323.07,44.49,21.36,34.31,36.06,23.56,44.8,34.46,66.82,54.38,36.29,36.29,03-09-2024,scanId-705d515b-332d-42e0-b907-5a0721ca05fd_2024_09_02_00_00_00.json-app-measures-version-5.0.0,40:36.8,5.0.0,2024,9
539,e853b03c-fb7c-45e1-a070-ddd5e0c0d8ad,4108.71,32.19,11.23,150.12,10180.52,31486.87,19.63,2966.26,117.48,20.22,69.7,58.95,68.35,16.71,19.2,13.96,12.76,7.55,8.26,63.4,46.8,27.91,26.67,18.31,16.68,61.99,3654.42,58.99,20.65,36.28,35.27,23.39,40.47,33.5,50.33,56.9,41.1,39.94,28-04-2025,scanId-e853b03c-fb7c-45e1-a070-ddd5e0c0d8ad_2025_04_27_00_00_00.json-app-measures-version-5.0.0,35:32.9,5.0.0,2025,4
540,17a33b00-7614-4d2e-aeee-e022faea6143,3980.79,30.3,6.23,203.79,13785.04,24401.98,23.8,2413.97,100.7,22.59,66.52,56.65,69.85,16.5,18.74,15.24,15.25,9.85,8.08,63.9,65.5,35.51,26.81,21.17,17.61,62.56,3857.29,52.41,19.56,34.2,35.32,22.38,44.3,32.98,62.49,57.47,38.74,37.0,04-07-2024,scanId-17a33b00-7614-4d2e-aeee-e022faea6143_2024_07_03_00_00_00.json-app-measures-version-5.0.0,57:15.2,5.0.0,2024,7
541,3da9d7a3-3bb9-4c67-a728-41a2383b804c,4341.83,55.81,6.8,162.33,8279.12,33648.01,19.79,2286.14,158.3,19.15,51.29,53.19,64.05,14.56,20.11,12.52,14.2,9.17,8.55,57.95,62.24,35.67,25.97,16.12,18.45,64.93,3906.64,61.02,19.28,33.32,34.13,23.13,37.4,31.49,66.43,48.99,41.35,41.1,05-09-2025,scanId-3da9d7a3-3bb9-4c67-a728-41a2383b804c_2025_09_04_00_00_00.json-app-measures-version-5.0.0,57:38.5,5.0.0,2025,9
542,88490a7d-7acd-4d38-b59c-fec546d16c2f,4001.92,48.02,10.79,246.53,10600.03,23425.88,20.22,2136.36,98.43,20.48,57.58,49.39,62.94,16.42,18.81,15.13,12.48,8.12,9.74,62.42,49.73,35.49,28.17,18.59,19.93,51.08,4166.43,57.58,19.86,33.87,36.9,22.28,34.23,33.88,57.48,47.4,41.5,37.21,21-10-2025,scanId-88490a7d-7acd-4d38-b59c-fec546d16c2f_2025_10_20_00_00_00.json-app-measures-version-5.0.0,45:19.1,5.0.0,2025,10
543,30ee18b9-d37c-4eab-b33f-7f180d747922,4578.39,38.52,13.79,233.79,13193.84,29389.04,22.01,2544.15,160.57,21.42,48.05,52.72,68.77,20.44,14.4,15.57,15.94,8.34,7.49,58.08,52.13,35.89,25.13,18.62,20.38,52.19,4365.61,61.35,20.64,33.13,34.7,23.73,34.14,28.47,63.75,66.19,39.14,37.24,11-03-2024,scanId-30ee18b9-d37c-4eab-b33f-7f180d747922_2024_03_10_00_00_00.json-app-measures-version-5.0.0,28:11.6,5.0.0,2024,3
544,6668ee33-fb89-4fc2-8677-b21e6d67b163,4839.59,53.7,12.46,182.7,11901.82,20933.98,24.5,3308.51,143.34,17.33,65.06,60.19,61.23,16.44,15.56,13.68,12.11,9.31,7.61,52.32,45.6,34.39,27.27,18.85,16.06,47.88,4054.02,64.88,19.35,34.1,35.56,20.93,43.3,33.09,64.74,59.19,37.29,38.83,10-03-2024,scanId-6668ee33-fb89-4fc2-8677-b21e6d67b163_2024_03_09_00_00_00.json-app-measures-version-5.0.0,45:47.2,5.0.0,2024,3
545,617d62f2-de8d-45d0-98a6-37a977d3123d,4462.27,39.44,14.97,200.15,10299.33,26266.12,22.09,3406.63,155.13,22.91,61.82,50.95,63.9,16.78,16.05,13.95,13.0,9.24,7.25,47.11,45.82,27.94,27.08,21.22,21.58,43.39,3584.62,63.92,20.51,33.99,35.07,21.41,35.33,28.16,49.2,49.08,37.21,36.08,13-09-2025,scanId-617d62f2-de8d-45d0-98a6-37a977d3123d_2025_09_12_00_00_00.json-app-measures-version-5.0.0,32:15.9,5.0.0,2025,9
546,6922f0e1-09c2-488f-9300-d6c523d1cc74,4633.09,37.65,12.08,201.55,9982.57,23617.77,23.32,2265.59,158.76,20.72,63.94,62.24,58.56,19.61,20.15,12.01,15.64,8.38,9.86,53.96,49.79,28.48,27.8,21.95,16.75,65.6,3723.53,45.38,21.15,35.94,36.44,22.82,34.47,30.95,68.11,65.16,38.48,39.97,11-01-2025,scanId-6922f0e1-09c2-488f-9300-d6c523d1cc74_2025_01_10_00_00_00.json-app-measures-version-5.0.0,44:15.6,5.0.0,2025,1
547,b14381a7-d872-48f1-83c2-d1b5b73813e0,3510.56,44.62,12.2,205.59,14849.93,25265.66,22.74,3482.8,147.87,20.77,56.76,58.39,53.09,18.76,16.97,13.1,12.12,8.35,8.55,52.84,48.72,34.27,31.01,19.85,17.16,52.12,4263.03,46.47,19.18,33.28,34.83,23.43,36.33,34.65,54.4,58.31,41.26,39.53,30-09-2025,scanId-b14381a7-d872-48f1-83c2-d1b5b73813e0_2025_09_29_00_00_00.json-app-measures-version-5.0.0,34:39.6,5.0.0,2025,9
548,d192bdc0-5b7b-4743-b5da-7590ab50391a,3623.23,38.26,9.84,214.98,12907.05,27392.58,20.07,3515.24,173.27,20.48,49.55,51.13,58.46,20.4,18.72,13.76,15.79,8.44,8.91,46.12,60.97,33.41,32.08,17.3,19.64,51.47,4111.76,62.03,18.33,36.87,36.32,20.92,38.63,31.31,60.07,58.32,41.11,39.37,09-08-2025,scanId-d192bdc0-5b7b-4743-b5da-7590ab50391a_2025_08_08_00_00_00.json-app-measures-version-5.0.0,55:48.3,5.0.0,2025,8
549,f9de48ca-a106-43a2-91fa-58e31bc68fdc,4584.75,46.15,7.31,204.44,9796.87,20640.73,19.33,2657.59,134.26,22.07,57.12,60.96,62.92,20.77,18.76,12.68,15.38,7.77,7.31,59.74,47.44,32.02,32.49,17.06,21.12,57.28,3597.26,49.84,21.4,36.81,34.34,22.99,35.88,33.12,48.42,54.12,40.18,41.84,24-02-2024,scanId-f9de48ca-a106-43a2-91fa-58e31bc68fdc_2024_02_23_00_00_00.json-app-measures-version-5.0.0,15:28.7,5.0.0,2024,2
550,2d512014-9f3d-4bd3-9663-42a71f26a6da,4801.06,27.48,10.32,162.23,14303.18,33135.88,20.36,3369.49,171.46,19.14,65.19,47.43,56.54,19.11,17.74,13.09,15.07,9.12,7.63,62.59,57.42,35.76,28.9,21.4,21.76,62.23,3832.57,60.38,21.03,35.56,35.68,21.27,36.88,30.44,54.96,54.82,38.35,36.15,06-03-2024,scanId-2d512014-9f3d-4bd3-9663-42a71f26a6da_2024_03_05_00_00_00.json-app-measures-version-5.0.0,15:52.2,5.0.0,2024,3
551,4a1a7b41-6f08-4375-afc2-7a7ba3bef2b6,3746.88,49.72,5.91,216.86,14128.42,21617.77,19.59,2587.93,171.0,22.88,59.32,52.76,55.96,20.02,17.42,13.34,14.79,9.99,8.66,65.78,65.17,30.78,25.56,16.96,18.41,48.08,4140.36,49.41,20.47,34.63,33.33,22.96,43.88,28.07,48.94,59.49,38.33,37.76,19-03-2025,scanId-4a1a7b41-6f08-4375-afc2-7a7ba3bef2b6_2025_03_18_00_00_00.json-app-measures-version-5.0.0,36:49.5,5.0.0,2025,3
552,36794e5a-ff88-40f3-9ed8-bf65d9bdb5e1,3810.82,46.15,8.19,202.89,8163.66,28162.83,24.28,1747.04,93.89,22.73,58.45,53.41,65.19,17.26,19.37,12.63,12.96,7.07,9.81,69.56,65.22,31.56,29.43,18.62,19.72,43.89,4333.11,55.99,20.08,34.38,35.56,21.1,35.58,28.74,58.33,62.75,36.37,38.58,27-01-2025,scanId-36794e5a-ff88-40f3-9ed8-bf65d9bdb5e1_2025_01_26_00_00_00.json-app-measures-version-5.0.0,35:44.3,5.0.0,2025,1
553,8c2bda33-6881-4859-9f47-8b6721c3a0ac,3749.0,27.81,7.15,184.84,8847.16,26984.37,22.61,1694.45,173.27,22.58,64.99,57.82,69.99,20.33,19.5,15.19,13.63,9.39,7.91,65.71,58.99,29.69,26.48,17.68,16.35,43.11,4374.88,47.31,20.93,33.58,34.48,22.37,33.12,29.57,51.52,61.9,40.0,36.62,24-06-2024,scanId-8c2bda33-6881-4859-9f47-8b6721c3a0ac_2024_06_23_00_00_00.json-app-measures-version-5.0.0,57:10.1,5.0.0,2024,6
554,6d248b8c-b6b4-4233-af98-1582626d1135,3925.05,40.88,12.14,207.47,13718.02,21064.11,22.26,3961.64,113.85,22.39,50.53,67.88,61.45,17.6,20.59,12.39,12.27,9.71,7.8,45.39,47.95,29.39,33.75,18.19,16.72,48.2,4135.24,57.39,18.53,35.73,33.85,21.67,34.77,28.76,62.58,60.26,41.88,39.41,19-07-2025,scanId-6d248b8c-b6b4-4233-af98-1582626d1135_2025_07_18_00_00_00.json-app-measures-version-5.0.0,31:49.8,5.0.0,2025,7
555,ab18dcf0-9f0f-47d6-8988-44356f2f8f91,3826.19,28.9,11.41,159.41,14368.09,32232.85,24.77,3179.6,142.88,20.57,60.6,47.15,57.94,17.31,20.32,15.66,15.81,8.51,8.23,66.09,60.14,30.48,29.29,19.22,20.59,43.36,3685.96,46.58,18.37,35.86,33.87,22.65,33.59,31.19,52.75,48.12,39.59,37.32,30-10-2024,scanId-ab18dcf0-9f0f-47d6-8988-44356f2f8f91_2024_10_29_00_00_00.json-app-measures-version-5.0.0,35:11.7,5.0.0,2024,10
556,f4e84809-8657-4171-a646-c01ab8624f18,4211.94,39.07,9.95,207.61,10049.68,29596.17,22.49,3822.25,119.29,21.87,56.18,66.0,57.55,15.88,16.38,12.48,12.55,9.29,8.49,63.28,60.5,33.79,33.8,20.09,17.75,61.8,4280.82,66.28,20.56,35.44,36.69,21.85,32.31,31.46,65.06,62.04,41.76,36.32,04-05-2025,scanId-f4e84809-8657-4171-a646-c01ab8624f18_2025_05_03_00_00_00.json-app-measures-version-5.0.0,56:47.9,5.0.0,2025,5
557,7bdf61f0-4987-4d71-bbc5-1bf8c257ec66,4652.54,34.65,14.66,157.86,9746.3,20752.19,22.82,2664.74,117.03,22.34,51.65,55.31,53.98,16.71,15.65,13.35,13.85,8.26,8.06,52.21,66.65,27.44,28.6,16.65,17.35,48.7,4098.8,60.31,21.8,36.87,34.54,22.49,35.67,30.97,51.09,62.16,39.77,38.64,29-12-2024,scanId-7bdf61f0-4987-4d71-bbc5-1bf8c257ec66_2024_12_28_00_00_00.json-app-measures-version-5.0.0,54:49.4,5.0.0,2024,12
558,010a1198-9314-458a-9306-4ea14ddb0c40,3744.24,47.2,7.9,199.04,14069.58,21221.87,22.67,2624.73,117.93,17.59,49.11,65.48,65.37,18.32,20.09,15.18,15.52,9.55,8.52,65.79,54.76,35.98,25.36,18.47,20.99,53.28,3707.52,50.7,20.92,36.76,36.05,22.43,44.13,32.99,68.43,56.05,40.92,36.56,01-04-2024,scanId-010a1198-9314-458a-9306-4ea14ddb0c40_2024_03_31_00_00_00.json-app-measures-version-5.0.0,49:10.4,5.0.0,2024,3
559,e8594b91-59f5-48d8-8f9f-006d3d46c2a2,4798.02,40.44,5.45,198.83,12619.4,20264.43,23.43,1726.5,119.29,22.8,60.1,47.46,57.39,14.48,19.98,15.26,15.76,7.05,8.52,49.03,61.05,32.67,35.83,17.28,17.32,50.81,4370.02,59.93,19.15,33.05,35.25,22.57,34.39,29.87,55.3,58.5,38.0,38.77,27-11-2024,scanId-e8594b91-59f5-48d8-8f9f-006d3d46c2a2_2024_11_26_00_00_00.json-app-measures-version-5.0.0,33:24.5,5.0.0,2024,11
560,18b679f8-1532-4e35-ac1c-668cd5225f91,4436.59,54.68,5.63,220.89,14054.11,31739.19,23.57,2781.68,98.43,22.76,56.17,52.64,62.39,16.11,15.15,14.18,15.09,7.48,9.25,46.19,58.63,34.88,27.43,17.22,21.72,60.78,3965.36,45.09,20.27,33.62,36.43,23.52,36.72,32.31,60.8,55.83,41.62,39.09,01-08-2025,scanId-18b679f8-1532-4e35-ac1c-668cd5225f91_2025_07_31_00_00_00.json-app-measures-version-5.0.0,50:43.7,5.0.0,2025,7
561,558aa2a0-52c7-450e-9998-e3b6beb8d707,4425.41,40.53,8.39,208.29,14348.62,22835.66,23.02,2701.96,136.53,19.48,62.54,52.15,67.28,18.95,15.94,12.14,13.26,8.46,8.51,58.16,59.21,32.34,35.05,17.83,16.0,60.13,4430.74,45.18,20.66,35.58,34.84,21.37,32.62,28.59,62.27,47.1,38.3,41.95,04-07-2025,scanId-558aa2a0-52c7-450e-9998-e3b6beb8d707_2025_07_03_00_00_00.json-app-measures-version-5.0.0,31:37.9,5.0.0,2025,7
562,f1f4c647-0963-4405-80ea-41560fdd63a6,4395.02,26.78,14.08,245.14,11668.93,20014.82,20.18,2852.84,109.32,22.4,67.12,48.1,52.87,17.45,16.13,15.91,15.97,9.86,7.46,55.19,49.08,31.87,33.37,17.16,21.12,59.36,3992.42,63.34,21.64,36.59,34.48,22.16,36.58,33.17,67.45,49.77,38.97,38.71,28-11-2024,scanId-f1f4c647-0963-4405-80ea-41560fdd63a6_2024_11_27_00_00_00.json-app-measures-version-5.0.0,19:15.4,5.0.0,2024,11
563,b9146912-d1c7-46fc-8222-0aec599c8be6,3546.05,57.56,10.7,178.0,10308.3,20239.61,22.69,2424.45,119.29,20.47,56.59,58.28,61.43,17.24,14.79,12.96,13.4,7.09,9.03,61.95,69.92,27.95,27.16,18.36,21.53,55.44,4139.17,45.87,20.85,33.68,36.68,22.42,37.62,35.12,51.97,48.18,37.02,40.08,31-05-2025,scanId-b9146912-d1c7-46fc-8222-0aec599c8be6_2025_05_30_00_00_00.json-app-measures-version-5.0.0,53:20.7,5.0.0,2025,5
564,420740ce-5bfe-4953-8193-9432b64f0d12,4929.34,57.71,9.47,203.52,9475.46,26862.73,22.36,1518.37,97.07,22.42,59.19,56.01,52.7,18.7,15.06,14.62,13.31,9.69,7.44,67.57,66.87,27.82,32.79,17.95,18.37,49.82,4074.64,63.23,19.41,33.01,34.46,23.46,38.72,31.03,61.85,65.97,37.47,41.25,02-10-2024,scanId-420740ce-5bfe-4953-8193-9432b64f0d12_2024_10_01_00_00_00.json-app-measures-version-5.0.0,38:43.7,5.0.0,2024,10
565,d49a8532-0eb3-4dc6-ba1f-ae3f79fcc48e,4664.3,47.18,6.67,183.32,14387.45,31963.35,23.63,2986.37,135.17,21.8,63.72,59.79,69.87,15.47,14.74,12.53,14.59,9.55,7.36,64.67,53.89,27.69,33.3,16.05,16.13,65.66,3924.62,54.67,19.42,36.27,36.72,23.23,32.88,30.2,55.47,66.68,37.75,39.73,16-07-2024,scanId-d49a8532-0eb3-4dc6-ba1f-ae3f79fcc48e_2024_07_15_00_00_00.json-app-measures-version-5.0.0,27:58.9,5.0.0,2024,7
566,cb3c143d-0680-4bd3-b047-7ba0d5475a9b,4745.1,43.1,9.19,179.12,11556.92,32402.35,23.99,3822.67,133.36,18.61,67.52,61.75,54.14,20.16,16.32,12.06,13.01,7.21,7.82,49.54,66.85,31.31,34.58,17.99,17.67,45.87,4001.13,61.54,20.41,36.18,33.79,21.36,41.79,29.7,69.45,60.3,39.56,38.47,06-10-2025,scanId-cb3c143d-0680-4bd3-b047-7ba0d5475a9b_2025_10_05_00_00_00.json-app-measures-version-5.0.0,29:45.1,5.0.0,2025,10
567,954ebfbb-75b9-4a16-a212-761c2cdd216c,3928.28,25.55,7.75,158.83,10229.27,34811.44,23.87,2054.56,167.83,18.98,49.42,60.46,56.86,16.99,16.91,15.97,15.55,7.08,8.62,47.33,51.42,35.21,32.2,17.19,16.02,60.76,3653.94,65.43,20.35,35.28,34.45,23.99,32.89,31.57,51.78,61.61,36.59,39.35,17-04-2024,scanId-954ebfbb-75b9-4a16-a212-761c2cdd216c_2024_04_16_00_00_00.json-app-measures-version-5.0.0,12:49.7,5.0.0,2024,4
568,ad475489-79a4-4c09-83f3-1ce5c9238598,4370.95,40.5,8.37,244.61,10563.05,26226.25,20.56,1794.37,116.57,20.32,63.79,66.94,61.48,17.89,16.35,15.61,14.82,8.83,9.71,63.44,67.82,33.51,32.8,19.61,21.25,45.32,4454.06,57.84,20.55,33.78,33.53,22.03,36.9,33.33,65.07,54.38,38.6,37.3,31-07-2024,scanId-ad475489-79a4-4c09-83f3-1ce5c9238598_2024_07_30_00_00_00.json-app-measures-version-5.0.0,42:33.1,5.0.0,2024,7
569,fc9e03c1-4080-4599-81e6-3ce69a98f335,3651.71,47.08,10.43,176.87,11262.58,32677.18,23.79,3035.47,122.02,19.29,60.26,48.7,67.94,18.98,14.05,13.59,13.44,8.12,9.69,45.64,64.43,28.61,35.95,17.32,18.37,52.65,3934.28,68.47,20.11,34.24,36.01,21.05,33.59,29.9,62.51,63.01,39.78,40.8,21-11-2025,scanId-fc9e03c1-4080-4599-81e6-3ce69a98f335_2025_11_20_00_00_00.json-app-measures-version-5.0.0,26:23.6,5.0.0,2025,11
570,320426a6-a47e-45b1-97a4-5ed9d3bea74f,3751.43,58.33,9.83,150.6,12517.8,28947.65,23.69,1716.31,175.99,17.94,49.29,67.06,57.13,14.21,16.67,13.17,13.62,7.79,9.3,59.79,58.5,34.38,31.45,21.52,16.59,64.1,3981.82,50.39,18.21,33.32,34.97,20.25,34.21,31.32,52.85,51.89,41.76,37.01,24-01-2024,scanId-320426a6-a47e-45b1-97a4-5ed9d3bea74f_2024_01_23_00_00_00.json-app-measures-version-5.0.0,14:19.5,5.0.0,2024,1
571,7ae66db2-80d2-412b-9a7b-f28348ecf2ed,3958.66,57.55,9.24,176.5,8603.98,31636.45,24.38,1753.28,121.56,20.35,57.27,60.38,53.71,17.08,14.8,13.21,13.41,8.85,9.36,46.66,69.93,27.75,33.81,19.13,18.17,51.84,3930.09,66.45,21.7,36.39,34.1,23.97,42.31,35.12,59.22,59.67,37.31,37.39,09-07-2025,scanId-7ae66db2-80d2-412b-9a7b-f28348ecf2ed_2025_07_08_00_00_00.json-app-measures-version-5.0.0,47:12.8,5.0.0,2025,7
572,702dec39-1cfa-47e9-8348-f4a2388dc292,3562.06,49.99,13.08,178.54,13204.83,21014.41,23.34,3243.35,156.49,21.83,66.38,49.37,67.11,15.49,18.46,14.71,15.27,8.18,7.66,59.84,59.98,25.3,30.79,20.33,19.93,55.63,3790.31,59.13,18.14,33.83,35.95,22.73,44.46,31.05,50.26,63.51,40.01,37.99,19-03-2025,scanId-702dec39-1cfa-47e9-8348-f4a2388dc292_2025_03_18_00_00_00.json-app-measures-version-5.0.0,47:27.1,5.0.0,2025,3
573,458f878a-72f3-4eb6-9c57-0cca12963af2,4468.75,28.61,11.68,196.82,10974.49,27964.64,23.02,3656.78,115.21,20.99,68.4,52.03,52.34,17.87,16.52,14.67,14.08,7.77,7.83,48.0,48.69,30.56,30.3,16.52,17.76,44.27,3631.03,57.4,19.87,34.62,36.57,23.15,34.35,35.45,53.72,61.91,36.9,41.79,23-02-2024,scanId-458f878a-72f3-4eb6-9c57-0cca12963af2_2024_02_22_00_00_00.json-app-measures-version-5.0.0,26:25.2,5.0.0,2024,2
574,59545863-1c3e-4ab2-9e84-ef4152418d0f,4291.45,35.33,6.17,238.62,10606.06,28055.95,22.9,3214.95,143.34,17.28,63.81,67.75,58.05,20.6,17.52,12.06,12.55,9.59,7.73,69.83,48.12,29.98,34.47,18.68,16.9,55.74,4009.72,48.73,19.79,34.56,34.25,23.28,40.3,32.2,57.48,65.12,40.78,41.03,15-02-2025,scanId-59545863-1c3e-4ab2-9e84-ef4152418d0f_2025_02_14_00_00_00.json-app-measures-version-5.0.0,51:33.8,5.0.0,2025,2
575,6cd51ed7-d038-4b3b-927b-7b51bf9f1129,4614.31,42.95,6.63,179.09,11420.59,22707.65,24.58,3769.1,118.39,19.63,63.86,49.83,63.82,14.29,17.52,15.9,15.04,9.49,8.57,68.35,52.27,31.82,34.6,21.44,16.08,58.37,3644.52,63.42,20.21,33.33,35.28,21.13,32.95,31.18,63.54,58.43,38.48,39.75,22-11-2025,scanId-6cd51ed7-d038-4b3b-927b-7b51bf9f1129_2025_11_21_00_00_00.json-app-measures-version-5.0.0,19:43.5,5.0.0,2025,11
576,84495457-1b3f-4a29-b950-e1feca944598,4388.11,34.82,10.46,217.17,11282.63,30059.43,22.6,3296.1,118.39,20.45,55.09,54.84,52.97,19.91,18.56,15.48,12.09,7.73,7.14,47.3,61.38,27.4,30.81,16.84,20.69,67.31,4058.44,68.8,20.25,34.98,33.9,22.35,39.98,32.65,58.18,55.92,36.76,36.15,22-04-2025,scanId-84495457-1b3f-4a29-b950-e1feca944598_2025_04_21_00_00_00.json-app-measures-version-5.0.0,41:56.4,5.0.0,2025,4
577,f6aa5a6d-caff-49b6-8a17-18a9ceaaf0e2,4592.63,43.02,13.24,161.47,13718.02,32671.99,21.86,1537.25,156.49,17.69,67.6,63.86,67.35,17.58,15.32,13.95,15.26,9.43,8.05,66.35,67.89,35.11,30.47,19.75,17.77,62.77,3839.42,52.77,20.2,33.32,35.98,21.65,32.68,32.33,67.48,46.58,39.26,41.94,18-10-2024,scanId-f6aa5a6d-caff-49b6-8a17-18a9ceaaf0e2_2024_10_17_00_00_00.json-app-measures-version-5.0.0,14:39.6,5.0.0,2024,10
578,667ea807-30c7-4db7-893e-159948f8405c,3812.21,37.7,10.7,187.72,9368.31,24733.04,20.83,2614.24,110.68,22.05,61.48,63.84,65.86,15.43,17.49,12.52,14.27,8.42,7.11,53.19,59.56,35.07,29.24,21.62,16.03,45.83,4042.25,53.56,18.56,36.05,36.43,22.04,32.52,35.11,65.92,63.75,36.39,36.45,04-10-2024,scanId-667ea807-30c7-4db7-893e-159948f8405c_2024_10_03_00_00_00.json-app-measures-version-5.0.0,35:55.3,5.0.0,2024,10
579,2177cc72-1f75-467e-9ebf-09ab5a6b9c89,3691.78,36.89,10.59,175.48,12663.04,33445.79,24.02,2398.71,113.85,17.68,48.06,54.65,59.1,17.41,19.22,12.53,14.08,8.61,7.23,58.23,68.72,29.28,33.62,20.62,19.09,60.81,3674.2,46.79,18.67,35.34,34.68,22.58,38.38,29.48,67.27,51.55,41.18,37.55,28-12-2024,scanId-2177cc72-1f75-467e-9ebf-09ab5a6b9c89_2024_12_27_00_00_00.json-app-measures-version-5.0.0,13:39.3,5.0.0,2024,12
580,2046dc08-f68f-4f08-b5f0-96ecfb1715b4,3784.5,26.87,9.45,178.18,9265.87,24411.55,21.0,3623.79,141.52,17.27,54.76,56.47,56.66,20.34,19.58,15.76,15.6,9.01,8.23,52.7,47.46,34.11,32.67,18.91,20.04,66.17,4020.34,49.1,19.74,36.51,36.97,21.4,34.25,34.8,60.23,61.78,38.57,40.13,18-07-2024,scanId-2046dc08-f68f-4f08-b5f0-96ecfb1715b4_2024_07_17_00_00_00.json-app-measures-version-5.0.0,49:24.7,5.0.0,2024,7
581,eb54d2c8-bc21-4088-afd9-536aa85661b3,3887.49,33.97,11.5,175.76,11894.23,28613.1,21.5,2091.36,160.12,19.91,54.29,48.34,65.64,15.39,15.82,15.49,14.84,7.57,9.42,64.72,69.08,33.23,31.64,19.7,19.45,48.1,3704.33,63.52,20.88,34.91,33.1,22.44,37.39,29.25,65.84,64.84,38.99,38.2,06-03-2024,scanId-eb54d2c8-bc21-4088-afd9-536aa85661b3_2024_03_05_00_00_00.json-app-measures-version-5.0.0,33:45.3,5.0.0,2024,3
582,a9430a12-f6bf-44ba-9f3b-5d31dd070611,3712.62,34.14,9.79,175.86,8956.9,34865.47,19.28,3156.5,129.73,19.56,56.59,56.01,59.89,16.77,20.43,13.87,15.08,7.05,9.11,52.32,46.55,26.46,33.13,20.8,19.9,50.96,4038.27,53.59,18.5,33.92,35.22,20.5,41.24,32.51,57.87,58.14,37.84,39.81,29-08-2025,scanId-a9430a12-f6bf-44ba-9f3b-5d31dd070611_2025_08_28_00_00_00.json-app-measures-version-5.0.0,22:20.2,5.0.0,2025,8
583,42b826c3-3ea9-423c-bd25-15098a98a602,3542.68,44.53,9.84,202.06,8800.52,23439.02,23.16,1672.04,123.38,22.66,65.4,51.9,59.0,14.6,18.19,14.95,14.59,9.04,7.76,67.6,60.05,27.09,29.38,16.73,20.82,53.06,3985.55,50.75,21.69,34.87,33.28,22.56,35.48,35.34,50.27,63.46,36.28,40.89,14-07-2025,scanId-42b826c3-3ea9-423c-bd25-15098a98a602_2025_07_13_00_00_00.json-app-measures-version-5.0.0,54:23.3,5.0.0,2025,7
584,4f4f0219-9d00-4e0e-a7a0-16ceffefaad1,3701.51,50.27,7.5,223.15,11993.2,23638.12,23.66,2766.56,179.62,19.38,66.61,48.36,63.77,16.19,14.4,15.24,13.07,7.58,8.77,48.54,65.73,32.37,32.45,18.04,19.63,57.18,3687.1,68.16,18.84,35.93,34.87,21.42,34.35,33.78,68.58,65.01,38.09,38.14,17-12-2024,scanId-4f4f0219-9d00-4e0e-a7a0-16ceffefaad1_2024_12_16_00_00_00.json-app-measures-version-5.0.0,23:45.9,5.0.0,2024,12
585,2200d325-1ae2-4cb6-a857-0a26f59e705a,4833.75,37.15,12.34,242.86,8860.52,22128.99,22.86,3451.15,104.33,18.69,65.94,55.85,58.41,16.48,20.6,14.12,12.92,8.14,9.84,62.33,46.28,26.24,33.43,16.43,16.67,52.44,4404.09,44.03,21.09,33.47,34.31,21.41,34.22,28.4,61.8,52.61,36.81,40.02,14-10-2024,scanId-2200d325-1ae2-4cb6-a857-0a26f59e705a_2024_10_13_00_00_00.json-app-measures-version-5.0.0,25:22.4,5.0.0,2024,10
